RK,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,PROJ,POS_RK,ND,ADD
1,Josh Allen,BUF,QB1,1,2,1.2,0.4,35.63,1,33.24,Josh Allen
2,Jalen Hurts,PHI,QB2,2,6,3.2,1.5,31.25,2,29.63,Jalen Hurts
3,Puka Nacua,LAR,WR1,4,4,4,0,38.76,1,31.65,Puka Nacua
4,Jayden Daniels,WAS,QB3,2,7,4.5,1.4,28.80,3,27.68,Jayden Daniels
5,Christian McCaffrey,SF,RB1,3,11,4.8,2.7,33.72,1,29.90,Christian McCaffrey
6,Bijan Robinson,ATL,RB2,3,11,6.4,2.3,28.43,2,26.70,Bijan Robinson
7,Patrick Mahomes II,KC,QB4,5,10,7.2,1.6,26.67,4,26.25,Patrick Mahomes II
8,Drake Maye,NE,QB5,5,13,8,2.3,25.35,5,25.09,Drake Maye
9,Jonathan Taylor,IND,RB3,8,9,8.6,0.5,26.51,3,24.99,Jonathan Taylor
10,Justin Herbert,LAC,QB6,8,13,10.8,1.4,24.07,6,24.09,Justin Herbert
11,Jahmyr Gibbs,DET,RB4,6,16,11,2.5,24.67,4,23.75,Jahmyr Gibbs
12,Dak Prescott,DAL,QB7,10,17,13,2,22.93,7,23.20,Dak Prescott
13,Baker Mayfield,TB,QB8,10,18,13.4,2.1,22.07,8,22.38,Baker Mayfield
14,Caleb Williams,CHI,QB9,8,18,14.9,2.8,21.55,9,21.62,Caleb Williams
15,Jordan Love,GB,QB10,9,18,15.1,3,20.62,10,20.91,Jordan Love
16,Josh Jacobs,GB,RB5,11,19,15.1,1.8,23.51,5,22.76,Josh Jacobs
17,Matthew Stafford,LAR,QB11,14,23,18.3,2.8,19.73,11,20.22,Matthew Stafford
18,Amon-Ra St. Brown,DET,WR2,16,25,19.2,4.2,30.72,2,28.42,Amon-Ra St. Brown
19,Daniel Jones,IND,QB12,14,22,19.3,2.5,19.06,12,19.56,Daniel Jones
20,De'Von Achane,MIA,RB6,15,28,21.1,4.2,22.10,6,21.92,De'Von Achane
21,Jaxon Smith-Njigba,SEA,WR3,16,25,21.6,4.1,28.84,3,26.72,Jaxon Smith-Njigba
22,Bo Nix,DEN,QB13,18,24,21.7,1.8,18.44,13,18.91,Bo Nix
23,Justin Fields,NYJ,QB14,14,24,21.8,2.5,17.67,14,18.28,Justin Fields
