"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Bijan Robinson",ATL,"RB1","2","6","2.3","0.8"
"2","Patrick Mahomes II",KC,"QB1","1","7","2.4","1.7"
"3","Josh Allen",BUF,"QB2","1","5","3.4","1.4"
"4","Christian McCaffrey",SF,"RB2","3","10","3.8","2.2"
"5","Lamar Jackson",BAL,"QB3","1","7","4.4","1.8"
"6","Jalen Hurts",PHI,"QB4","2","8","6.2","1.4"
"7","Jonathan Taylor",IND,"RB3","5","12","6.6","1.7"
"8","Baker Mayfield",TB,"QB5","6","13","8.4","1.6"
"9","Dak Prescott",DAL,"QB6","7","15","9.8","1.9"
"10","Bo Nix",DEN,"QB7","8","15","10.6","1.8"
"11","Drake Maye",NE,"QB8","7","13","10.7","1.9"
"12","De'Von Achane",MIA,"RB4","9","26","12.9","4.0"
"13","Daniel Jones",IND,"QB9","10","16","13.5","1.9"
"14","Justin Herbert",LAC,"QB10","12","20","15.7","1.9"
"15","Caleb Williams",CHI,"QB11","11","23","15.8","2.7"
"16","Ja'Marr Chase",CIN,"WR1","14","22","16.0","3.2"
"17","Josh Jacobs",GB,"RB5","11","27","18.0","3.4"
"18","Jaxson Dart",NYG,"QB12","11","24","19.4","3.1"
"19","Jordan Love",GB,"QB13","12","24","20.0","3.5"
"20","Justin Jefferson",MIN,"WR2","14","31","21.5","4.7"
"21","CeeDee Lamb",DAL,"WR3","17","29","21.8","4.2"
"22","James Cook III",BUF,"RB6","12","43","23.8","6.7"
"23","Rashee Rice",KC,"WR4","17","33","25.0","5.0"
"24","Joe Flacco",CIN,"QB14","20","35","25.4","3.5"
"25","Aaron Rodgers",PIT,"QB15","22","35","27.0","3.1"
"26","Drake London",ATL,"WR5","22","32","28.0","2.6"
"27","Rachaad White",TB,"RB7","17","72","28.4","14.8"
"28","Javonte Williams",DAL,"RB8","18","52","28.4","7.4"
"29","Michael Penix Jr.",ATL,"QB16","23","40","30.9","5.3"
"30","C.J. Stroud",HOU,"QB17","26","38","31.0","3.1"
"31","Quinshon Judkins",CLE,"RB9","20","53","32.2","8.3"
"32","Courtland Sutton",DEN,"WR6","30","45","34.2","4.7"
"33","Emeka Egbuka",TB,"WR7","23","44","35.8","5.3"
"34","Rome Odunze",CHI,"WR8","29","49","35.8","4.2"
"35","Spencer Rattler",NO,"QB18","32","49","35.9","4.0"
"36","Saquon Barkley",PHI,"RB10","24","66","36.9","6.8"
"37","Chris Olave",NO,"WR9","31","43","39.9","2.9"
"38","Nico Collins",HOU,"WR10","30","73","41.3","11.2"
"39","Derrick Henry",BAL,"RB11","21","52","42.6","9.2"
"40","A.J. Brown",PHI,"WR11","38","56","43.0","3.9"
"41","Marcus Mariota",WAS,"QB19","32","139","44.2","24.0"
"42","Michael Pittman Jr.",IND,"WR12","42","51","45.0","2.1"
"43","J.K. Dobbins",DEN,"RB12","21","60","45.4","9.8"
"44","DK Metcalf",PIT,"WR13","41","51","45.7","2.9"
