,position,games,mae,avg_score,accuracy_score
Cam Ward,QB,7,3.571428571428572,9.0875,97.8750164868496
Christian McCaffrey,RB,7,3.857142857142857,24.6125,97.65141411185668
Bijan Robinson,RB,6,4.166666666666667,21.6,97.4035115717905
Patrick Mahomes II,QB,7,4.285714285714286,25.0,97.30665997696761
Bucky Irving,RB,4,4.5,18.0,97.13029487359196
Jaxon Smith-Njigba,WR,7,4.714285714285714,22.142857142857142,96.95139136464235
Dillon Gabriel,QB,4,5.25,8.166666666666666,96.49354637013387
Jake Ferguson,TE,7,5.285714285714286,15.05,96.46250532404564
Baker Mayfield,QB,7,5.428571428571429,17.825,96.33771423239946
Devin Singletary,RB,7,5.714285714285714,1.775,96.08518230788756
Drake Maye,QB,7,6.0,22.025,95.82883248905227
Luke Schoonmaker,TE,4,6.25,1.4874999999999998,95.60149562597863
Jordan Love,QB,6,6.5,18.985714285714288,95.37141366045628
C.J. Stroud,QB,6,6.5,17.385714285714286,95.37141366045628
Bryce Young,QB,7,6.571428571428571,13.914285714285716,95.30518228323663
Tyler Warren,TE,7,6.571428571428571,13.85,95.30518228323663
A.J. Dillon,RB,5,6.6,1.3,95.2786290684971
Josh Jacobs,RB,6,6.666666666666667,19.542857142857144,95.2165375527785
Trey McBride,TE,7,6.714285714285714,16.157142857142855,95.17207217570466
Chris Olave,WR,7,7.0,14.875,94.9033071987262
Tua Tagovailoa,QB,7,7.142857142857143,14.3125,94.76767683866966
Dalton Schultz,TE,6,7.333333333333333,8.971428571428572,94.58556855101801
D'Andre Swift,RB,6,7.333333333333333,15.94285714285714,94.58556855101801
Sam Darnold,QB,7,7.428571428571429,16.314285714285713,94.49397853241871
Bo Nix,QB,7,7.571428571428571,20.775,94.3559326941799
De'Von Achane,RB,7,7.571428571428571,19.55,94.3559326941799
DJ Giddens,RB,3,7.666666666666667,0.9428571428571428,94.26346614047063
Will Shipley,RB,3,7.666666666666667,0.9833333333333334,94.26346614047063
Travis Kelce,TE,7,7.714285714285714,12.8,94.21710320910327
Dalton Kincaid,TE,5,7.8,11.666666666666666,94.1334336190345
Jaylen Warren,RB,5,7.8,13.633333333333333,94.1334336190345
Trevor Lawrence,QB,7,8.142857142857142,16.714285714285715,93.79601318738962
Jonathan Taylor,RB,7,8.142857142857142,27.075,93.79601318738962
Michael Penix Jr.,QB,6,8.166666666666666,13.6,93.77242044526423
Ty Johnson,RB,5,8.2,1.4714285714285713,93.73935593361662
Lamar Jackson,QB,4,8.25,23.6,93.68968355080558
Trey Benson,RB,4,8.25,8.85,93.68968355080558
Geno Smith,QB,7,8.571428571428571,12.0,93.3682189548108
Tony Pollard,RB,7,8.571428571428571,10.1875,93.3682189548108
Joe Flacco,QB,6,8.833333333333334,14.44285714285714,93.10359098933857
Jalen Hurts,QB,7,8.857142857142858,21.8375,93.07941591054096
Spencer Rattler,QB,7,8.857142857142858,13.0125,93.07941591054096
Jayden Daniels,QB,5,9.0,19.44,92.93395713135098
Cole Kmet,TE,6,9.0,4.7,92.93395713135098
Cade Otton,TE,5,9.0,6.6375,92.93395713135098
Jahmyr Gibbs,RB,7,9.0,20.0,92.93395713135098
Kyler Murray,QB,5,9.0,16.16,92.93395713135098
Dak Prescott,QB,7,9.142857142857142,19.8,92.78780401465079
Aaron Rodgers,QB,6,9.166666666666666,17.499999999999996,92.76337819433505
Matthew Stafford,QB,7,9.285714285714286,19.485714285714284,92.64096417320978
Zach Ertz,TE,6,9.333333333333334,9.6875,92.59186624077846
Jordan Mason,RB,6,9.5,10.571428571428571,92.41943296594086
Gunnar Helm,TE,7,9.571428571428571,5.275,92.3452537774247
Jared Goff,QB,7,9.571428571428571,17.214285714285715,92.3452537774247
Christian Kirk,WR,3,9.666666666666666,6.966666666666666,92.24608971529868
Najee Harris,RB,3,9.666666666666666,3.866666666666667,92.24608971529868
Tucker Kraft,TE,6,9.666666666666666,16.17142857142857,92.24608971529868
Kyle Pitts Sr.,TE,6,9.666666666666666,11.342857142857143,92.24608971529868
Dawson Knox,TE,4,9.75,3.257142857142857,92.15908030290825
Caleb Williams,QB,6,9.833333333333334,17.5,92.07184750087396
Nick Westbrook-Ikhine,WR,4,10.0,1.75,91.89671701653619
Josh Allen,QB,6,10.166666666666666,22.928571428571427,91.72070865235797
Chig Okonkwo,TE,6,10.166666666666666,6.762499999999999,91.72070865235797
Brock Bowers,TE,4,10.25,10.875000000000002,91.63237843249169
Russell Wilson,QB,4,10.25,9.96,91.63237843249169
Brian Robinson Jr.,RB,7,10.285714285714286,2.5625,91.59445652050503
Travis Etienne Jr.,RB,7,10.428571428571429,13.057142857142855,91.44237460114852
Jonnu Smith,TE,6,10.5,6.914285714285716,91.36609840587462
Mac Jones,QB,5,10.6,16.116666666666667,91.25905011089796
Demarcus Robinson,WR,3,10.666666666666666,4.16,91.18751590209973
RJ Harvey,RB,7,10.714285714285714,9.9375,91.13633780864748
Carson Wentz,QB,4,10.75,15.06,91.09790941613267
Evan Engram,TE,5,10.8,7.742857142857142,91.04404530914209
Jaxson Dart,QB,5,10.8,15.685714285714289,91.04404530914209
Nick Chubb,RB,6,10.833333333333334,8.5,91.00809429871212
Justin Herbert,QB,7,10.857142857142858,20.925,90.98239467429201
Julius Chestnut,RB,3,11.0,0.45,90.82784265377646
Kyren Williams,RB,7,11.142857142857142,15.685714285714283,90.67268729354113
Alvin Kamara,RB,7,11.142857142857142,10.25,90.67268729354113
Luke Musgrave,TE,4,11.25,1.6285714285714283,90.55592809977435
Javonte Williams,RB,7,11.285714285714286,18.575,90.516934018899
Austin Hooper,TE,6,11.333333333333334,4.175,90.46488431159938
Tyjae Spears,RB,3,11.333333333333334,8.649999999999999,90.46488431159938
Elijah Higgins,TE,6,11.333333333333334,2.742857142857143,90.46488431159938
Daniel Jones,QB,7,11.714285714285714,20.7625,90.04613923052828
Cam Skattebo,RB,7,11.714285714285714,15.9625,90.04613923052828
Isiah Pacheco,RB,7,11.714285714285714,7.525,90.04613923052828
Sean Tucker,RB,4,11.75,2.925,90.00666992416355
Johnny Mundt,TE,3,12.0,1.1,89.72938084354178
Noah Fant,TE,5,12.0,7.457142857142857,89.72938084354178
